order_id,pincode,latitude,longitude,extraction_status
206568,500077,17.311747,78.439111,success
206569,500052,17.3195994,78.4485441,success
206570,500058,17.3125323,78.5294924,success
206571,500008,17.37975,78.411506,success
206572,500076,17.4219101,78.5494117,success
206573,500029,17.4034259,78.487187,success
206574,500100,17.5405883,78.4869257,success
206575,500075,17.3949652,78.3828594,success
206576,500081,17.444415,78.388272,success
206577,500008,17.4136025,78.3921659,success
206578,500018,17.4505058,78.4123277,success
206579,500016,17.4410813,78.471142,success
206580,500059,17.3420212,78.501483,success
206581,500052,17.3113403,78.4352488,success
206582,500018,17.4508173,78.4176485,reverse_geocoded
206583,500028,17.388544,78.44576,success
206584,500091,17.3629719,78.3943263,reverse_geocoded
206585,500081,17.4519251,78.3641314,success
206586,500084,17.4819013,78.3641017,success
206587,500005,17.316577,78.466473,success
206588,500034,17.4091785,78.4320063,success
206589,500008,17.3991171,78.4172134,success
206590,500018,17.4541716,78.4109909,success
206591,500059,17.3437362,78.4954389,reverse_geocoded
206592,500028,17.3898574,78.4495502,success
206594,500082,17.4244845,78.4493106,success
206595,500018,17.4507696,78.4104413,success
206596,500028,17.4026827,78.4476939,success
206597,500039,17.4028971,78.5712308,reverse_geocoded
206598,500057,17.3946026,78.4499901,success
206599,500019,17.4730641,78.3030586,success
206600,500049,17.4800191,78.3556045,success
206601,500082,17.4297316,78.449451,success
206602,500048,17.3639051,78.4245704,success
206603,500008,17.3862198,78.4136627,success
206604,500008,17.3906833,78.4028385,success
206605,500039,17.4037538,78.5620261,reverse_geocoded
206606,500003,17.4341673,78.4963816,success
206607,500001,17.3921015,78.4634722,success
206608,500097,17.3191037,78.5200267,success
206609,500028,17.3867162,78.4341506,success
206610,500095,17.385044,78.486671,reverse_geocoded
206611,500077,17.321943,78.4396682,reverse_geocoded
206612,501359,17.211505,78.477093,success
206613,500048,17.371014,78.42478,success
206614,500018,17.4534332,78.4148414,success
206617,500028,17.3895771,78.429541,reverse_geocoded
206619,500075,17.4144278,78.3299211,reverse_geocoded
206620,500096,17.4115174,78.4107274,success
206621,501511,17.27139,78.5781119,reverse_geocoded
206622,500008,17.4080039,78.415153,success
206623,500004,17.4048843,78.4679459,success
206624,500028,17.3899789,78.4275692,success
206625,500028,17.3778385,78.4528051,success
206626,500080,17.4181974,78.4954783,success
206627,500008,17.3957961,78.4100926,success
206628,500006,17.3792749,78.4363917,success
206629,500008,17.4132709,78.393327,success
206630,500008,17.3845558,78.4109353,success
206631,500034,17.4068391,78.4341402,success
206632,500032,17.4268559,78.3294958,success
206633,500114,17.4509141,78.4174895,success
206634,500008,17.3916498,78.4124191,success
206635,500018,17.4560365,78.4015432,success
206636,500034,17.4070081,78.4340069,success
206637,500075,17.3773893,78.3545046,success
206638,500033,17.4292265,78.4267242,success
206639,500081,17.4439466,78.3880601,success
206640,500034,17.4090213,78.4328893,success
206641,500072,17.4981773,78.39568,success
206642,500078,17.5472274,78.5381435,success
206643,500005,17.311141,78.4587461,success
206644,500089,17.4082615,78.3777933,success
206645,500034,17.4136475,78.4403926,success
206646,500064,17.3593523,78.4620256,success
206647,500089,17.3867647,78.3583561,success
206648,500096,17.4030301,78.4057874,reverse_geocoded
206649,500002,17.35567,78.4815879,success
206650,500003,17.446441,78.476885,success
206652,500018,17.4562147,78.4319992,success
206653,500052,17.3327553,78.4266254,success
206654,500028,17.4031628,78.4401812,reverse_geocoded
206655,500004,17.4073581,78.4567223,success
206656,500089,17.3953212,78.3877778,reverse_geocoded
206657,500098,17.4323835,78.6111468,success
206658,500030,17.3490846,78.4119285,success
206659,500086,17.3402929,78.3850991,success
206660,500030,17.3485304,78.4135097,success
206661,500032,17.4490008,78.3692312,success
206662,500004,17.408967,78.455504,success
206663,500008,17.4109821,78.3907228,success
206664,500008,17.3909004,78.399704,success
206665,500073,17.4358021,78.440428,success
